VAR1	VAR2	VAR3	VAR4	VAR5	LastName	FirstName	IDNO	group
1	1	1	1	1	Miller	Bill	1.000	1
1	1	1	1	0	Benton	Barb	2.000	2
1	1	1	0	0	Richards	Tom	3.000	1
1	1	0	0	0	Thomas	Keith	4.000	2
1	0	0	0	0	King	Bob	5.000	1
0	0	0	0	0	Moreland	Rob	6.000	2
1	0	0	0	0	Landis	Sandy	7.000	1
1	1	0	0	0	Moore	Vernil	8.000	2
1	1	1	0	0	Tyler	Dick	9.000	1
1	1	1	1	0	Cook	Harry	10.000	2
1	1	1	1	1	Rains	Claude	11.000	1
1	0	1	0	1	Kent	Clark	12.000	2
0	1	1	1	0	Clinton	Bill	13.000	1
1	1	1	0	1	Bush	George	14.000	2
1	1	0	1	1	Jefferson	Tom	15.000	1
1	0	0	1	0	Lincoln	Abe	16.000	2
